"","state","state_po","state_fips","county_fips","county_name","swingrep","swingages_20_29","swingages_30_44","swingages_45_64","swingages_65_plus","swingmale","swingwhite","swingturnout","unemp","urbanrural","swingincome","swingeduc"
"1","ALABAMA","AL",1,1,"autauga",0.00148336201760779,0.00292326709101615,-0.0212178357842039,0.00263625286426272,0.015658315828925,0.0036852549025046,-0.0138614368645927,-0.00426330297387456,0.0566734693877551,1,0.109809163561901,0.180827467060062
"2","ALABAMA","AL",1,3,"baldwin",-0.00812557134397074,-0.00218223535689419,-0.0126701077405457,-0.0056436653144718,0.0204960084119118,0.00201198214967657,-0.00160175982484412,0.00331098512135353,0.0601632653061225,1,0.122823504842457,0.0868729549113478
"3","ALABAMA","AL",1,5,"barbour",0.0387353662370292,-0.00642378418775436,-0.00955397527569565,-0.0180885836502344,0.0340663431136845,-0.00770804726860608,-0.00835605765930592,-0.031267845956565,0.0963061224489796,0,0.118015778666378,-0.0909889139839221
"4","ALABAMA","AL",1,7,"bibb",0.0357661699434847,-0.00457453980478092,-0.0149903791976017,-0.000338161685030092,0.0199030806874127,-0.00168177413956305,-0.00236916442670565,0.0171650135071673,0.0713673469387755,1,0.0620494909712417,0.106932613253966
"5","ALABAMA","AL",1,9,"blount",0.0286896092922213,-0.00282582795010378,-0.0191992799270274,-0.000351000014077396,0.0223761078912085,0.0028439322934477,-0.00140774347845907,0.0268380813077874,0.0586122448979592,1,0.0943586638409527,0.0953011958159271
"6","ALABAMA","AL",1,11,"bullock",0.00697620979613525,-0.00860743984306067,0.0098807429452778,-0.0176680114515629,0.0163947083493457,-0.00129950312376925,-0.00440466926256244,-0.0803167941510067,0.0835918367346939,0,0.0152048202515265,-0.10539523946196
"7","ALABAMA","AL",1,13,"butler",0.0255696542286435,-0.00281146515693634,-0.00545997962208072,-0.0116788857220224,0.0199503305010394,-0.0015946753093094,-0.0141592006522526,-0.0325790872226996,0.0850204081632653,0,0.146238997065884,0.00699349184183977
"8","ALABAMA","AL",1,15,"calhoun",0.032072569193723,-0.00558641475108884,-0.00539918816499205,-0.00774961244211952,0.0187352153582004,0.00236830067299965,-0.00763883192713055,0.0206184195365609,0.0768163265306122,1,0.0640415675472643,0.0978043849410338
"9","ALABAMA","AL",1,17,"chambers",0.0423090762897177,0.00863990795157943,-0.0163500893670796,-0.00671310243941037,0.0144232838549106,0.00471802961766105,-0.0200453463477782,-0.0387830691900864,0.067,0,0.0888804185869226,0.0775420173890417
"10","ALABAMA","AL",1,19,"cherokee",0.0665931947431129,0.00754340764083064,-0.0233614676730663,-0.0175804534202741,0.0333985134525098,0.00178635285994411,-0.00154026851997591,0.056215663520005,0.0583673469387755,0,0.142928039702233,0.0558010426966872
"11","ALABAMA","AL",1,21,"chilton",0.023156023467528,-0.00197381393028756,-0.0179273477970107,0.00341311756160834,0.0164880441656899,0.000758077195403772,-0.00834775014222522,0.0168475211896599,0.0606326530612245,1,0.0926771117166213,0.0604890572067736
"12","ALABAMA","AL",1,23,"choctaw",0.0419984931497795,0.00474134421278127,-0.0135100007597775,-0.0141510818958354,0.0229197384428316,-0.00332364793668966,0.00739818149842042,-0.0562215632103049,0.0903265306122449,0,0.113515577761512,0.0464785057055137
"13","ALABAMA","AL",1,25,"clarke",0.00861293973400468,0.0156087539562719,-0.0240052951928877,-0.00821524839077609,0.0166117896273919,0.00154049605508949,-0.0133567402731831,-0.0325655008259071,0.122959183673469,0,0.151361854668498,0.0421048541813714
