"","state","county_name","rep_county2012","rep_county2016","swingrep","state_po","unemp"
"1","ALABAMA","autauga",0.726182517131874,0.727665879149481,0.00148336201760779,"AL",0.0566734693877551
"2","ALABAMA","baldwin",0.773582694696384,0.765457123352413,-0.00812557134397074,"AL",0.0601632653061225
"3","ALABAMA","barbour",0.482231297245634,0.520966663482663,0.0387353662370292,"AL",0.0963061224489796
"4","ALABAMA","bibb",0.728266033254157,0.764032203197641,0.0357661699434847,"AL",0.0713673469387755
"5","ALABAMA","blount",0.864658835291177,0.893348444583398,0.0286896092922213,"AL",0.0586122448979592
"6","ALABAMA","bullock",0.235062006764374,0.24203821656051,0.00697620979613525,"AL",0.0835918367346939
"7","ALABAMA","butler",0.535699241786015,0.561268896014659,0.0255696542286435,"AL",0.0850204081632653
"8","ALABAMA","calhoun",0.654560390859762,0.686632960053485,0.032072569193723,"AL",0.0768163265306122
"9","ALABAMA","chambers",0.521935528026829,0.564244604316547,0.0423090762897177,"AL",0.067
"10","ALABAMA","cherokee",0.767563145515901,0.834156340259014,0.0665931947431129,"AL",0.0583673469387755
"11","ALABAMA","chilton",0.797846752949261,0.821002776416789,0.023156023467528,"AL",0.0606326530612245
"12","ALABAMA","choctaw",0.521084337349398,0.563082830499177,0.0419984931497795,"AL",0.0903265306122449
"13","ALABAMA","clarke",0.539311241065627,0.547924180799632,0.00861293973400468,"AL",0.122959183673469
"14","ALABAMA","clay",0.723056139297508,0.791817632850242,0.0687614935527333,"AL",0.0703265306122449
"15","ALABAMA","cleburne",0.836161776367962,0.874260579402396,0.0380988030344345,"AL",0.0667755102040816
"16","ALABAMA","coffee",0.741831057157309,0.764433957721385,0.0226029005640759,"AL",0.0641224489795918
"17","ALABAMA","colbert",0.595937566816335,0.67212522576761,0.0761876589512747,"AL",0.0791428571428571
"18","ALABAMA","conecuh",0.489746510965537,0.519362186788155,0.029615675822618,"AL",0.0981020408163265
"19","ALABAMA","coosa",0.578667678876447,0.643754760091394,0.0650870812149467,"AL",0.0775510204081633
"20","ALABAMA","covington",0.787978992413927,0.832308657465496,0.0443296650515684,"AL",0.0753061224489796
"21","ALABAMA","crenshaw",0.674820816453724,0.720121270145205,0.0453004536914811,"AL",0.0670204081632653
"22","ALABAMA","cullman",0.841599674957193,0.871042695323845,0.0294430203666525,"AL",0.0584285714285714
"23","ALABAMA","dale",0.706364175243843,0.736465944850392,0.0301017696065488,"AL",0.0673265306122449
"24","ALABAMA","dallas",0.300100224311554,0.308056619838229,0.0079563955266746,"AL",0.107142857142857
"25","ALABAMA","dekalb",0.768176675187529,0.828815921939131,0.0606392467516023,"AL",0.0676122448979592
"26","ALABAMA","elmore",0.739833732563055,0.741653247450349,0.00181951488729404,"AL",0.0549591836734694
"27","ALABAMA","escambia",0.624588069137131,0.669248905355339,0.0446608362182076,"AL",0.0766530612244898
"28","ALABAMA","etowah",0.684928285915824,0.732564985055701,0.0476366991398773,"AL",0.0677755102040816
"29","ALABAMA","fayette",0.761892776239617,0.813674384773912,0.0517816085342946,"AL",0.0756326530612245
"30","ALABAMA","franklin",0.696841329772539,0.786212624584718,0.0893712948121788,"AL",0.0711428571428571
"31","ALABAMA","geneva",0.810512367491166,0.84997448545671,0.0394621179655442,"AL",0.0642040816326531
"32","ALABAMA","greene",0.150561797752809,0.17172131147541,0.0211595137226009,"AL",0.117163265306122
"33","ALABAMA","hale",0.371398819854217,0.394651741293532,0.0232529214393151,"AL",0.093734693877551
"34","ALABAMA","henry",0.642465753424658,0.697720515361744,0.0552547619370868,"AL",0.0721428571428571
"35","ALABAMA","houston",0.698268047139654,0.720654799596613,0.0223867524569598,"AL",0.0651020408163265
"36","ALABAMA","jackson",0.701705788015746,0.79451010293557,0.0928043149198242,"AL",0.0711428571428571
"37","ALABAMA","jefferson",0.466188248145881,0.443037433717631,-0.0231508144282501,"AL",0.0618367346938776
"38","ALABAMA","lamar",0.761512698855707,0.835917312661499,0.0744046138057912,"AL",0.065734693877551
"39","ALABAMA","lauderdale",0.647573393998483,0.705857052498419,0.0582836584999353,"AL",0.0696326530612245
"40","ALABAMA","lawrence",0.628826530612245,0.730528019421404,0.101701488809159,"AL",0.0788163265306122
"41","ALABAMA","lee",0.592247833845361,0.584835532428917,-0.00741230141644489,"AL",0.0556326530612245
"42","ALABAMA","limestone",0.713359090780902,0.721372909117983,0.00801381833708092,"AL",0.0583469387755102
"43","ALABAMA","lowndes",0.233479590479989,0.261968880909635,0.0284892904296456,"AL",0.12430612244898
"44","ALABAMA","macon",0.12805464691168,0.156564551422319,0.0285099045106397,"AL",0.0870816326530612
"45","ALABAMA","madison",0.58612528134452,0.547894901125535,-0.0382303802189857,"AL",0.0584081632653061
"46","ALABAMA","marengo",0.462511918176302,0.475986901946516,0.0134749837702139,"AL",0.0803265306122449
"47","ALABAMA","marion",0.801073936389922,0.868299445471349,0.0672255090814279,"AL",0.0743265306122449
"48","ALABAMA","marshall",0.794294663145612,0.827755125155737,0.0334604620101248,"AL",0.0625510204081633
"49","ALABAMA","mobile",0.542667444413945,0.550640569188998,0.00797312477505374,"AL",0.0754081632653061
"50","ALABAMA","monroe",0.536141202838999,0.564209911401032,0.0280687085620331,"AL",0.106469387755102
"51","ALABAMA","montgomery",0.37608414112476,0.354648615949436,-0.0214355251753239,"AL",0.0657551020408163
"52","ALABAMA","morgan",0.717535429718387,0.74018639917858,0.022650969460193,"AL",0.0630612244897959
"53","ALABAMA","perry",0.246925725528775,0.26657824933687,0.0196525238080948,"AL",0.116285714285714
